Symbol,Txn Type,Segment,Buy Date,Buy Qty,Buy Rate (₹),Buy Value (₹),Sell Date,Sell Qty,Sell Rate (₹),Sell Value (₹),P&L Amt (₹),Total days,ISIN,Turnover (₹)
504988-EQ,Short-Term,NSE-Cash,09-May-24,4,1627.25,6509,06-May-24,4,1635.05,6540.2,31.2,3,INE380G01015,-
504988-EQ,Trading,NSE-Cash,06-May-24,25,1666.73,41668.25,06-May-24,25,1692.44,42311,642.85,0,INE380G01015,642.85
504988-EQ,Trading,NSE-Cash,07-May-24,19,1615.95,30703.05,07-May-24,19,1640.74,31174.06,471,0,INE380G01015,471
504988-EQ,Trading,NSE-Cash,08-May-24,10,1578.26,15782.6,08-May-24,10,1596.73,15967.3,184.65,0,INE380G01015,184.65
504988-EQ,Trading,NSE-Cash,09-May-24,7,1631,11417,09-May-24,7,1684,11788,371,0,INE380G01015,371
530077-EQ,Short-Term,NSE-Cash,01-Apr-24,5,163.2,816,23-Apr-24,5,175,875,59,22,INE795D01011,-
532323-EQ,Short-Term,NSE-Cash,02-Apr-24,5,50,250,27-Jun-24,5,50.51,252.55,2.55,86,INE555C01029,-
ADANIENT  ,Trading,NSE-Cash,23-May-24,1,3151,3151,23-May-24,1,3169,3169,18,0,INE423A01024,18
ADANIENT  ,Trading,NSE-Cash,27-May-24,4,3307,13228,27-May-24,4,3307.75,13231,3,0,INE423A01024,3
ADANIENT  ,Trading,NSE-Cash,28-May-24,1,3301,3301,28-May-24,1,3325,3325,24,0,INE423A01024,24
ADANIPORTS,Trading,NSE-Cash,28-May-24,1,1419,1419,28-May-24,1,1424,1424,5,0,INE742F01042,5
ADANIPORTS,Trading,NSE-Cash,12-Jun-24,1,1395,1395,12-Jun-24,1,1411.75,1411.75,16.75,0,INE742F01042,16.75
ASIANPAINT,Trading,NSE-Cash,23-May-24,1,2901,2901,23-May-24,1,2909,2909,8,0,INE021A01026,8
AXISBANK,Trading,NSE-Cash,26-Jun-24,1,1271,1271,26-Jun-24,1,1281.1,1281.1,10.1,0,INE238A01034,10.1
BAJAJFINSV,Trading,NSE-Cash,31-May-24,1,1525,1525,31-May-24,1,1545,1545,20,0,INE918I01026,20
BANKBARODA,Long-Term,BSE-Cash,08-Apr-22,10,118.3,1183,16-May-24,10,262,2620,1437,769,INE028A01039,-
BANKBARODA,Long-Term,BSE-Cash,08-Apr-22,10,118.3,1183,12-Jun-24,10,283.25,2832.5,1649.5,796,INE028A01039,-
BANKBARODA,Long-Term,BSE-Cash,08-Apr-22,30,118.3,3549,03-Jun-24,30,297.45,8923.5,5374.5,787,INE028A01039,-
BANKBARODA,Trading,NSE-Cash,13-May-24,34,256.88,8733.92,13-May-24,34,258.98,8805.32,71.3,0,INE028A01039,71.3
BANKBARODA,Trading,NSE-Cash,15-May-24,100,264.5,26450,15-May-24,100,265.27,26527,77.5,0,INE028A01039,77.5
BANKBARODA,Trading,NSE-Cash,16-May-24,43,264.7,11382.1,16-May-24,43,266.51,11459.93,77.95,0,INE028A01039,77.95
BANKBARODA,Trading,NSE-Cash,17-May-24,1,262,262,17-May-24,1,264,264,2,0,INE028A01039,2
BANKBARODA,Trading,NSE-Cash,21-May-24,37,264.66,9792.42,21-May-24,37,264.48,9785.76,-6.75,0,INE028A01039,6.75
BANKBARODA,Trading,NSE-Cash,22-May-24,10,264,2640,22-May-24,10,267,2670,30,0,INE028A01039,30
BANKBARODA,Trading,NSE-Cash,23-May-24,115,269.37,30977.55,23-May-24,115,268.6,30889,-88.5,0,INE028A01039,88.5
BANKBARODA,Trading,NSE-Cash,24-May-24,40,269.5,10780,24-May-24,40,270.63,10825.2,45,0,INE028A01039,45
BANKBARODA,Trading,NSE-Cash,27-May-24,10,266.25,2662.5,27-May-24,10,266.95,2669.5,7,0,INE028A01039,7
BANKBARODA,Trading,NSE-Cash,28-May-24,10,268.75,2687.5,28-May-24,10,269.85,2698.5,11,0,INE028A01039,11
BANKBARODA,Trading,NSE-Cash,31-May-24,5,263,1315,31-May-24,5,263.54,1317.7,2.7,0,INE028A01039,2.7
BANKBARODA,Trading,NSE-Cash,03-Jun-24,30,297.9,8937,03-Jun-24,30,290.22,8706.6,-230.5,0,INE028A01039,230.5
BANKBARODA,Trading,NSE-Cash,04-Jun-24,1,281,281,04-Jun-24,1,249,249,-32,0,INE028A01039,32
BANKBARODA,Trading,NSE-Cash,05-Jun-24,200,249.75,49950,05-Jun-24,200,256,51200,1250,0,INE028A01039,1250
BANKBARODA,Trading,NSE-Cash,06-Jun-24,20,268,5360,06-Jun-24,20,271.95,5439,79,0,INE028A01039,79
BANKBARODA,Trading,NSE-Cash,10-Jun-24,110,276.46,30410.6,10-Jun-24,110,276.92,30461.2,51,0,INE028A01039,51
BANKBARODA,Trading,NSE-Cash,11-Jun-24,10,276.5,2765,11-Jun-24,10,279,2790,25,0,INE028A01039,25
BANKBARODA,Trading,NSE-Cash,12-Jun-24,20,283,5660,12-Jun-24,20,279.73,5594.6,-65.5,0,INE028A01039,65.5
BANKBARODA,Trading,NSE-Cash,13-Jun-24,5,283,1415,13-Jun-24,5,282.8,1414,-1,0,INE028A01039,1
BANKBARODA,Trading,NSE-Cash,25-Jun-24,6,280.83,1684.98,25-Jun-24,6,282.67,1696.02,11,0,INE028A01039,11
BANKBARODA,Trading,NSE-Cash,28-Jun-24,60,273,16380,28-Jun-24,60,275.5,16530,150,0,INE028A01039,150
BHEL,Trading,NSE-Cash,31-May-24,3,290,870,31-May-24,3,295,885,15,0,INE257A01026,15
BHEL,Trading,NSE-Cash,04-Jun-24,2,307,614,04-Jun-24,2,236,472,-142,0,INE257A01026,142
BHEL,Trading,NSE-Cash,05-Jun-24,500,244,122000,05-Jun-24,500,248.4,124200,2200.8,0,INE257A01026,2200.8
BHEL,Trading,NSE-Cash,06-Jun-24,40,281,11240,06-Jun-24,40,284.45,11378,138,0,INE257A01026,138
BHEL,Trading,NSE-Cash,10-Jun-24,10,285,2850,10-Jun-24,10,288.4,2884,34,0,INE257A01026,34
BHEL,Trading,NSE-Cash,11-Jun-24,38,294.86,11204.68,11-Jun-24,38,293.32,11146.16,-58.35,0,INE257A01026,58.35
BHEL,Trading,NSE-Cash,12-Jun-24,10,295,2950,12-Jun-24,10,296.5,2965,15,0,INE257A01026,15
BHEL,Trading,NSE-Cash,13-Jun-24,5,295,1475,13-Jun-24,5,297,1485,10,0,INE257A01026,10
